"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1053_at","RFC2","5982","replication factor C subunit 2",-0.105319537089754,8.49498421467768,-0.984493184843576,0.334266170537579,0.384940311459258,-6.80996444129689
"2","1316_at","THRA","7067","thyroid hormone receptor alpha",-0.578291691767385,7.94388315740429,-5.10178379650581,2.83101676793491e-05,0.000117527971830977,1.92296477190517
"3","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",0.255471046741498,7.1088769063249,2.03607925316573,0.0524222948057469,0.0731446901798581,-5.3168824795477
"4","1552288_at","CILP2","148113","cartilage intermediate layer protein 2",0.275973764200904,6.19995875516714,2.26401016135171,0.0324639672886036,0.0476844062328819,-4.88895469875655
"5","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",-0.551241164905157,8.46246526815567,-4.62778607869547,9.68768351380026e-05,0.000318544169775805,0.699826138159418
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.444989615852405,9.01961399465184,-5.0712215057786,3.06418688840931e-05,0.000124844577262816,1.8440725719388
"7","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",0.334852790171633,6.32213388092031,2.99782670770435,0.00605281240267558,0.0106488963233679,-3.32892665457527
"8","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",0.330248083957187,6.67994590947471,3.85474837358147,0.000714675684889757,0.00166427707967864,-1.2681655286454
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",0.382451565899384,7.02811183212521,3.07886351060319,0.0049768705814937,0.00891770345046331,-3.14287661879801
"10","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",-0.190607886694712,8.70966807930298,-1.53727776929245,0.136733921744734,0.172723741868379,-6.13338401392186
"11","1552354_at","CBARP","255057","CACN subunit beta associated regulatory protein",0.822257126693748,7.58037374787733,4.19066518861242,0.00030105331328743,0.000814199148379667,-0.420271964109851
