"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0021400","umls:C0021400","Influenza","18/41","494/17381",1.19189686391135e-17,2.10250606793962e-14,8.4687408751596e-15,"3456/10346/3552/3620/3627/91543/8638/282618/23586/3569/3437/4939/29126/1956/3576/467/4600/3433",18
"umls:C0524910","umls:C0524910","Hepatitis C, Chronic","14/41","451/17381",9.544536481218e-13,8.41828117643428e-10,3.39082217095903e-10,"3456/6373/10346/3552/3620/3627/282616/8638/282618/23586/3569/29126/11274/3576",14
"umls:C0025007","umls:C0025007","Measles","10/41","155/17381",2.09922920811138e-12,1.23434677436949e-09,4.97185865079012e-10,"3456/3552/4792/3620/3627/23586/3569/4939/1956/3576",10
"umls:C3495559","umls:C3495559","Juvenile arthritis","12/41","333/17381",9.63829013015045e-12,4.25048594739635e-09,1.71206469417146e-09,"5806/6373/3310/3552/3627/1958/7128/3569/3725/6364/3576/1843",12
"umls:C0375023","umls:C0375023","Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site","11/41","257/17381",1.27363829829434e-11,4.49339591638244e-09,1.80990705547091e-09,"3456/3552/4792/3627/8638/23586/3569/1956/3576/3433/10673",11
"umls:C0019829","umls:C0019829","Hodgkin Disease","12/41","390/17381",6.04679640028641e-11,1.77775814168421e-08,7.16067994770759e-09,"5806/3552/4792/3627/7128/3569/3725/29126/6364/3576/5966/10673",12
"umls:C1096184","umls:C1096184","West Nile viral infection","7/41","78/17381",5.53724714469997e-10,1.39538628046439e-07,5.62051401905636e-08,"5806/3456/3552/91543/8638/23586/3433",7
"umls:C0037274","umls:C0037274","Dermatologic disorders","12/41","479/17381",6.39651270347435e-10,1.41043105111609e-07,5.68111325637525e-08,"5806/6373/3310/3552/4792/3627/23586/3569/6364/1956/3576/10673",12
"umls:C0027430","umls:C0027430","Nasal Polyps","9/41","223/17381",1.96634776618765e-09,3.8540416217278e-07,1.55237981541131e-07,"3456/3552/3620/7128/3569/6364/1956/3576/10673",9
"umls:C1290884","umls:C1290884","Inflammatory disorder","9/41","235/17381",3.11519182060332e-09,5.49519837154426e-07,2.21342576727078e-07,"5806/3456/3552/3627/25939/3569/29126/6364/3576",9
"umls:C0035435","umls:C0035435","Rheumatism","7/41","103/17381",3.97827497803022e-09,6.25932886863811e-07,2.52121195031073e-07,"3552/91543/3569/3624/3576/10673/94240",7
"umls:C0039103","umls:C0039103","Synovitis","7/41","104/17381",4.25804684941368e-09,6.25932886863811e-07,2.52121195031073e-07,"3552/7128/3569/6364/1956/3576/10673",7
"umls:C0011603","umls:C0011603","Dermatitis","8/41","168/17381",4.69469099441672e-09,6.370334549347e-07,2.56592422771764e-07,"6373/3552/4792/3569/3725/29126/1956/3576",8
"umls:C0024115","umls:C0024115","Lung diseases","10/41","357/17381",7.50114779476788e-09,9.45144622140752e-07,3.8069735048634e-07,"3456/3552/4792/3627/1958/3569/3725/29126/1956/3576",10
"umls:C0036220","umls:C0036220","Kaposi Sarcoma","8/41","184/17381",9.60180472742648e-09,1.12917223594535e-06,4.54822329193886e-07,"5806/3552/3620/3569/29126/6364/3576/5966",8
"umls:C3714757","umls:C3714757","Juvenile rheumatoid arthritis","8/41","186/17381",1.04512604666486e-08,1.15225146644801e-06,4.6411847467025e-07,"5806/6373/3552/3627/7128/3569/6364/3576",8
"umls:C1527336","umls:C1527336","Sjogren's Syndrome","7/41","136/17381",2.76882059763258e-08,2.87305854954345e-06,1.15724699901052e-06,"3456/4792/3627/7128/3569/29126/10673",7
"umls:C0149678","umls:C0149678","Epstein-Barr Virus Infections","8/41","217/17381",3.47888158396777e-08,3.40930395228842e-06,1.3732427305136e-06,"3552/3627/1958/7128/3569/29126/6364/1956",8
"umls:C0740392","umls:C0740392","Infarction, Middle Cerebral Artery","6/41","83/17381",3.88292445338648e-08,3.60498880830197e-06,1.45206316123871e-06,"4792/1961/1959/1958/3569/467",6
"umls:C0017152","umls:C0017152","Gastritis","8/41","223/17381",4.29845384025013e-08,3.79123628710062e-06,1.52708228535202e-06,"3552/4792/3627/3569/3725/6364/1956/3576",8
"umls:C0026946","umls:C0026946","Mycoses","8/41","241/17381",7.83202331614883e-08,6.57889958556502e-06,2.64993270095261e-06,"5806/3627/1959/3569/6364/3576/467/1843",8
"umls:C0151744","umls:C0151744","Myocardial Ischemia","10/41","476/17381",1.13026293932038e-07,8.73063426221545e-06,3.5166357124928e-06,"3552/4792/3627/91543/1959/1958/3569/3576/467/1843",10
"umls:C0036202","umls:C0036202","Sarcoidosis","8/41","253/17381",1.13834800471063e-07,8.73063426221545e-06,3.5166357124928e-06,"3456/3552/4792/3627/3569/3725/3576/10673",8
"umls:C0010823","umls:C0010823","Cytomegalovirus Infections","7/41","174/17381",1.50682284806205e-07,1.09290164688131e-05,4.40212800838338e-06,"3456/3627/91543/3569/1956/3576/10673",7
"umls:C0018843","umls:C0018843","Heat Stroke","4/41","21/17381",1.5488968918386e-07,1.09290164688131e-05,4.40212800838338e-06,"3552/3569/3725/5966",4
"umls:C0262985","umls:C0262985","Psoriasiform eczema","4/41","22/17381",1.88987278565241e-07,1.24991243693623e-05,5.03455600269693e-06,"3552/3569/6364/3576",4
"umls:C0026896","umls:C0026896","Myasthenia Gravis","7/41","181/17381",1.97158279905867e-07,1.24991243693623e-05,5.03455600269693e-06,"3456/3552/3627/7128/23586/3569/10673",7
"umls:C2349952","umls:C2349952","Oropharyngeal Carcinoma","5/41","56/17381",1.98398799513687e-07,1.24991243693623e-05,5.03455600269693e-06,"3552/3569/3725/1956/3576",5
"umls:C0006625","umls:C0006625","Cachexia","6/41","112/17381",2.34070321122403e-07,1.42379326365489e-05,5.73493527250895e-06,"3552/1958/3569/3624/1956/3576",6
"umls:C2145472","umls:C2145472","Urothelial Carcinoma","7/41","198/17381",3.6261303548643e-07,2.13216464866021e-05,8.58820347204704e-06,"282616/3569/3624/6364/1956/3576/1843",7
"umls:C0850666","umls:C0850666","Helicobacter pylori infection","8/41","297/17381",3.87318438171727e-07,2.2039668546288e-05,8.87741751327389e-06,"3552/3569/3725/29126/6364/1956/3576/467",8
