"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0002886","umls:C0002886","Anemia, Macrocytic","1/1","14/17381",0.000805477245267805,0.0117801047120421,NA,"1958",1
"umls:C0037926","umls:C0037926","Compression of spinal cord","1/1","14/17381",0.000805477245267805,0.0117801047120421,NA,"1958",1
"umls:C3149841","umls:C3149841","POLYCYSTIC KIDNEY DISEASE 1","1/1","15/17381",0.000863011334215513,0.0117801047120421,NA,"1958",1
"umls:C0011119","umls:C0011119","Decompression Sickness","1/1","16/17381",0.000920545423163333,0.0117801047120421,NA,"1958",1
"umls:C0349489","umls:C0349489","Fetal Hypoxia","1/1","16/17381",0.000920545423163333,0.0117801047120421,NA,"1958",1
"umls:C0265101","umls:C0265101","Carotid artery occlusion","1/1","20/17381",0.00115068177895405,0.0117801047120421,NA,"1958",1
"umls:C1739363","umls:C1739363","Prostatic Hypertrophy","1/1","21/17381",0.00120821586790176,0.0117801047120421,NA,"1958",1
"umls:C0018128","umls:C0018128","Graft Occlusion, Vascular","1/1","22/17381",0.00126574995684947,0.0117801047120421,NA,"1958",1
"umls:C1322286","umls:C1322286","Thymoma, type C","1/1","23/17381",0.00132328404579707,0.0117801047120421,NA,"1958",1
"umls:C1336745","umls:C1336745","Thymic Lymphoma","1/1","24/17381",0.00138081813474478,0.0117801047120421,NA,"1958",1
"umls:C0020295","umls:C0020295","Hydronephrosis","1/1","27/17381",0.00155342040158801,0.0117801047120421,NA,"1958",1
"umls:C0085702","umls:C0085702","Monocytosis","1/1","27/17381",0.00155342040158801,0.0117801047120421,NA,"1958",1
"umls:C0280321","umls:C0280321","Squamous cell carcinoma of the hypopharynx","1/1","28/17381",0.0016109544905355,0.0117801047120421,NA,"1958",1
"umls:C0205969","umls:C0205969","Thymic Carcinoma","1/1","30/17381",0.00172602266843092,0.0117801047120421,NA,"1958",1
"umls:C0235989","umls:C0235989","Renal interstitial fibrosis","1/1","30/17381",0.00172602266843092,0.0117801047120421,NA,"1958",1
"umls:C0751214","umls:C0751214","Hyperalgesia, Thermal","1/1","30/17381",0.00172602266843092,0.0117801047120421,NA,"1958",1
"umls:C1332153","umls:C1332153","Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome","1/1","33/17381",0.00189862493527426,0.0117801047120421,NA,"1958",1
"umls:C0340629","umls:C0340629","Aortic aneurysm without mention of rupture NOS","1/1","34/17381",0.00195615902422186,0.0117801047120421,NA,"1958",1
"umls:C0035457","umls:C0035457","Rhinitis, Allergic, Perennial","1/1","35/17381",0.00201369311316968,0.0117801047120421,NA,"1958",1
"umls:C0008372","umls:C0008372","Intrahepatic Cholestasis","1/1","36/17381",0.00207122720211728,0.0117801047120421,NA,"1958",1
"umls:C0740302","umls:C0740302","5q-syndrome","1/1","37/17381",0.00212876129106498,0.0117801047120421,NA,"1958",1
"umls:C1292779","umls:C1292779","Myelodysplastic Syndrome with Isolated del(5q)","1/1","38/17381",0.00218629538001269,0.0117801047120421,NA,"1958",1
"umls:C1802398","umls:C1802398","Chromosome 5, trisomy 5q","1/1","38/17381",0.00218629538001269,0.0117801047120421,NA,"1958",1
"umls:C0280280","umls:C0280280","stage, prostate cancer","1/1","39/17381",0.0022438294689604,0.0117801047120421,NA,"1958",1
"umls:C0598894","umls:C0598894","Monocytic leukemia","1/1","44/17381",0.00253149991369883,0.0127487605371696,NA,"1958",1
"umls:C0010308","umls:C0010308","Congenital Hypothyroidism","1/1","48/17381",0.00276163626948966,0.0127487605371696,NA,"1958",1
"umls:C0013386","umls:C0013386","Dyskinesia, Drug-Induced","1/1","49/17381",0.00281917035843737,0.0127487605371696,NA,"1958",1
"umls:C1402315","umls:C1402315","Vascular lesions","1/1","50/17381",0.00287670444738519,0.0127487605371696,NA,"1958",1
"umls:C0037116","umls:C0037116","Silicosis","1/1","51/17381",0.00293423853633268,0.0127487605371696,NA,"1958",1
"umls:C0025261","umls:C0025261","Memory Disorders","1/1","56/17381",0.00322190898107133,0.0135320177204996,NA,"1958",1
"umls:C0014553","umls:C0014553","Absence Epilepsy","1/1","59/17381",0.00339451124791434,0.0137970457173293,NA,"1958",1
"umls:C0853193","umls:C0853193","Bipolar I disorder","1/1","64/17381",0.00368218169265289,0.0140721612849731,NA,"1958",1
"umls:C1510885","umls:C1510885","Angiogenic Switch","1/1","65/17381",0.00373971578160059,0.0140721612849731,NA,"1958",1
"umls:C0752308","umls:C0752308","Hypoxia-Ischemia, Brain","1/1","66/17381",0.0037972498705483,0.0140721612849731,NA,"1958",1
"umls:C0037284","umls:C0037284","Skin lesion","1/1","70/17381",0.00402738622633914,0.0144985904148209,NA,"1958",1
"umls:C0024790","umls:C0024790","Paroxysmal nocturnal hemoglobinuria","1/1","73/17381",0.00419998849318226,0.0144985904148211,NA,"1958",1
"umls:C0432306","umls:C0432306","Ichthyosis Bullosa of Siemens","1/1","75/17381",0.00431505667107768,0.0144985904148211,NA,"1958",1
"umls:C0271183","umls:C0271183","Severe myopia","1/1","78/17381",0.00448765893792069,0.0144985904148211,NA,"1958",1
"umls:C1318544","umls:C1318544","M5b Acute differentiated monocytic leukemia","1/1","80/17381",0.00460272711581622,0.0144985904148211,NA,"1958",1
"umls:C1559154","umls:C1559154","Rash and Dermatitis Adverse Event Associated with Chemoradiation","1/1","80/17381",0.00460272711581622,0.0144985904148211,NA,"1958",1
"umls:C0740392","umls:C0740392","Infarction, Middle Cerebral Artery","1/1","83/17381",0.00477532938265912,0.0146671786754583,NA,"1958",1
"umls:C0020474","umls:C0020474","Hyperlipidemia, Familial Combined","1/1","85/17381",0.00489039756055476,0.0146671786754583,NA,"1958",1
"umls:C1318485","umls:C1318485","Liver regeneration disorder","1/1","87/17381",0.00500546573845007,0.0146671786754583,NA,"1958",1
"umls:C0026985","umls:C0026985","Myelodysplasia","1/1","93/17381",0.0053506702721362,0.0153223739611173,NA,"1958",1
"umls:C0023524","umls:C0023524","Leukoencephalopathy, Progressive Multifocal","1/1","101/17381",0.00581094298371776,0.0158867533268782,NA,"1958",1
"umls:C0039538","umls:C0039538","Teratoma","1/1","101/17381",0.00581094298371776,0.0158867533268782,NA,"1958",1
"umls:C0038436","umls:C0038436","Post-Traumatic Stress Disorder","1/1","103/17381",0.00592601116161329,0.0158867533268782,NA,"1958",1
