"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0021400","umls:C0021400","Influenza","44/113","494/17381",1.11246295270776e-38,1.91566120456276e-35,1.27757587516228e-35,"3627/282618/3620/10346/3456/6352/91543/8638/23586/3437/54739/29126/3569/4600/116071/64135/51191/3433/8743/834/4939/3434/64108/330/7098/2633/80830/27074/6772/8651/55601/3430/54809/4938/10561/3665/3576/4940/140691/9246/64761/4599/2920/27348",44
"umls:C1096184","umls:C1096184","West Nile viral infection","17/113","78/17381",8.56805154083963e-22,7.37709237666292e-19,4.91986538476633e-19,"3456/6352/91543/5806/8638/23586/3433/7098/5698/6890/6772/4938/54464/3665/3659/4599/6773",17
"umls:C0375023","umls:C0375023","Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site","23/113","257/17381",5.34082283588321e-20,3.06563230779696e-17,2.04450446103459e-17,"3627/3456/6352/10673/8638/23586/3569/116071/64135/3433/84166/7098/5698/27074/6890/6772/3576/1230/140691/3659/90865/2920/6773",23
"umls:C0011311","umls:C0011311","Dengue Fever","19/113","179/17381",4.83781871032563e-18,2.08268095479518e-15,1.38896321393823e-15,"3627/6352/23586/54739/3569/64135/8743/834/4939/7098/27074/684/6890/6891/4938/3965/3576/4940/1230",19
"umls:C0524910","umls:C0524910","Hepatitis C, Chronic","26/113","451/17381",9.3832660640378e-18,3.23159683245462e-15,2.15518805807689e-15,"6373/3627/282618/3620/282616/10346/3456/6352/8638/23586/29126/3569/11274/7098/6890/6772/8651/6891/4938/10561/3665/3576/1230/3659/4599/6773",26
"umls:C0524909","umls:C0524909","Hepatitis B, Chronic","21/113","267/17381",3.71873346596393e-17,1.06727650473165e-14,7.11778633573095e-15,"3627/3456/6352/8638/29126/3569/60489/8743/4939/3669/7098/6772/8651/4938/3592/3965/3113/3576/4940/3659/4599",21
"umls:C0035235","umls:C0035235","Respiratory Syncytial Virus Infections","19/113","299/17381",6.65742122623876e-14,1.63772562165474e-11,1.09221752749271e-11,"6352/23586/3569/64135/834/84166/7098/6890/6772/6891/8519/10561/3592/3576/1230/140691/3659/90865/2920",19
"umls:C0266999","umls:C0266999","Vesicular Stomatitis","12/113","97/17381",1.40965799949009e-12,3.03428884390242e-10,2.02360115453117e-10,"3456/23586/25939/3569/60489/330/7098/5366/6772/3430/3665/4599",12
"umls:C3495559","umls:C3495559","Juvenile arthritis","18/113","333/17381",4.96657083573486e-12,9.5027055323727e-10,6.33746056349326e-10,"6373/3627/6352/5806/3569/64135/3669/5698/6890/6364/6772/6891/2766/3592/3113/3576/3659/7128",18
"umls:C0221056","umls:C0221056","Adult type dermatomyositis","11/113","83/17381",5.82449311594917e-12,1.00297771456645e-09,6.68897051526373e-10,"3456/23586/3569/64135/11274/51191/3434/3669/7098/6772/6737",11
"umls:C0041327","umls:C0041327","Tuberculosis, Pulmonary","15/113","218/17381",1.12939621444508e-11,1.705577156975e-09,1.13746847500441e-09,"3627/6352/5806/3569/3669/5698/27074/6890/8651/6891/3592/3576/1230/83666/3431",15
"umls:C0026896","umls:C0026896","Myasthenia Gravis","14/113","181/17381",1.18855551008711e-11,1.705577156975e-09,1.13746847500441e-09,"3627/3456/6352/10673/23586/3569/64135/3669/7098/3122/6891/43/3592/7128",14
"umls:C0025007","umls:C0025007","Measles","13/113","155/17381",2.41926287647256e-11,3.20459282560442e-09,2.13717878399317e-09,"3627/3620/3456/23586/3569/64135/4939/6890/6772/3113/3576/4599/6773",13
"umls:C0007570","umls:C0007570","Celiac Disease","18/113","390/17381",6.7762664754524e-11,8.33480776480645e-09,5.5585764847508e-09,"6352/5806/3569/64135/3669/7098/6772/3122/8651/6891/5371/3592/3576/1230/140691/3659/972/7128",18
"umls:C0409974","umls:C0409974","Lupus Erythematosus","17/113","356/17381",1.4246256395422e-10,1.57974870463281e-08,1.05355207332624e-08,"6352/10673/29126/3569/64135/81030/834/3669/7098/6890/6772/6891/6737/3665/3576/1230/972",17
"umls:C0011633","umls:C0011633","Dermatomyositis","11/113","111/17381",1.46782690325929e-10,1.57974870463281e-08,1.05355207332624e-08,"3456/23586/3569/64135/11274/51191/3434/3669/7098/6772/6737",11
"umls:C1290884","umls:C1290884","Inflammatory disorder","14/113","235/17381",3.88301182893091e-10,3.93326257024649e-08,2.62313678350689e-08,"3627/3456/5806/25939/29126/3569/8743/834/51554/7098/6364/43/3576/90865",14
"umls:C0020517","umls:C0020517","Hypersensitivity","12/113","160/17381",5.42024108295502e-10,5.1853639693603e-08,3.45817720555785e-08,"6352/29126/3569/6376/834/55876/7098/6890/6364/6891/1230/3659",12
"umls:C0036202","umls:C0036202","Sarcoidosis","14/113","253/17381",1.01943481560825e-09,9.23929869724952e-08,6.16179160015846e-08,"3627/3456/6352/10673/54739/3569/3669/7098/6890/3122/6891/3592/3576/83666",14
"umls:C0035435","umls:C0035435","Rheumatism","10/113","103/17381",1.28096306966001e-09,1.07916906741777e-07,7.19709916591961e-08,"91543/10673/3569/6376/51191/94240/5698/6737/3576/90865",10
"umls:C1527336","umls:C1527336","Sjogren's Syndrome","11/113","136/17381",1.31928920716012e-09,1.07916906741777e-07,7.19709916591961e-08,"3627/3456/10673/29126/3569/6772/6891/6737/3592/90865/7128",11
"umls:C0024131","umls:C0024131","Lupus Vulgaris","15/113","307/17381",1.37872935442456e-09,1.07916906741777e-07,7.19709916591961e-08,"10673/29126/3569/64135/81030/834/3669/7098/6772/6891/6737/3665/3576/1230/972",15
"umls:C0024138","umls:C0024138","Lupus Erythematosus, Discoid","15/113","316/17381",2.04715137039685e-09,1.53269333035799e-07,1.02217031812493e-07,"10673/29126/3569/64135/81030/834/3669/7098/6772/6891/6737/3665/3576/1230/972",15
"umls:C0043144","umls:C0043144","Wheezing","9/113","81/17381",2.65161771634646e-09,1.84604413550955e-07,1.23114747346471e-07,"3627/6352/3569/3669/55876/7098/3576/140691/83666",9
"umls:C0027059","umls:C0027059","Myocarditis","10/113","111/17381",2.68008730474674e-09,1.84604413550955e-07,1.23114747346471e-07,"3627/3456/29126/3569/6376/3669/7098/3576/140691/3659",10
